id;name;original_language;first_air_date;production_companies[0].name;production_companies[1].name;production_companies[2].name
463;Texas Ranch House;en;01/05/2006;-;-;-
464;Shadow Raiders;en;16/09/1998;Alliance Atlantis;Mainframe Entertainment;-
466;Cuts;en;14/02/2005;-;-;-
467;Stars in Fast Cars;en;25/09/2005;-;-;-
468;Monster Warriors;en;12/12/2012;-;-;-
469;Texaco Star Theater;en;08/06/1948;Texaco Gasoline Company;Milton Berle Productions;NBC
470;Ratsada;en;12/12/2012;-;-;-
471;Number 1 Single;en;12/12/2012;-;-;-
472;Megas XLR;en;01/05/2004;-;-;-
473;Kapmanerang Kuba;en;12/12/2012;-;-;-
474;Nash Bridges;en;29/03/1996;-;-;-
475;Kuyaw!;en;12/12/2012;-;-;-
476;She Spies;en;20/07/2002;Reno & Osborn Productions;MGM Television;-
477;Saturday Night's Main Event;en;11/05/1985;-;-;-
478;Captain Planet and the Planeteers;en;15/09/1990;DiC Enterprises;-;-
479;Nobody's Watching;en;12/12/2012;-;-;-
480;Lou Grant;en;20/09/1977;MTM Enterprises;-;-
481;The Brak Show;en;21/12/2000;Williams Street;-;-
482;Showbiz Darts;en;02/10/2006;-;-;-
483;Delilah and Julius;en;12/12/2012;-;-;-
484;Murder, She Wrote;en;30/09/1984;Universal Television;Corymore Productions;-
485;Police Rescue;en;14/02/1991;Southern Star Xanadu;BBC;Australian Broadcasting Corporation
486;Captain Scarlet and the Mysterons;en;29/09/1967;Century 21 Television;ITC Entertainment;-
487;Bod;en;23/12/1975;-;-;-
488;Modele;en;12/12/2012;-;-;-
489;Talkshow with Spike Feresten;en;16/09/2006;-;-;-
490;Joe the Little Boom Boom;fr;01/12/1960;-;-;-
491;Cop Shop;en;28/11/1977;-;-;-
492;Upstairs, Downstairs;en;10/10/1971;LWT;-;-
493;M.K. 22;he;21/03/2004;-;-;-
494;Alice;en;31/08/1976;Warner Bros. Television;-;-
495;Weinerville;en;12/12/2012;-;-;-
496;Family Ties;en;22/09/1982;Ubu Productions;Paramount Television Studios;-
497;Lipstick on Your Collar;en;21/02/1993;Whistling Gypsy Production;Channel 4 Television;-
498;Late Show with David Letterman;;12/12/2012;-;-;-
499;The Osbournes;en;05/03/2002;iCandy TV;Big Head Productions;JOKS Productions
500;Mad About You;en;23/09/1992;TriStar Television;In Front Productions;Nuance Productions
501;Battlestar Galactica;en;17/09/1978;Universal Television;Glen A. Larson Productions;-
502;Sesame Street;en;10/11/1969;Sesame Workshop;Children's Television Workshop (CTW);-
503;Family Affair;en;12/09/1966;-;-;-
504;The Ren & Stimpy Show;en;11/08/1991;Games Animation;Spümcø;Nickelodeon Productions
505;Dad's Army;en;31/07/1968;BBC;-;-
506;Ace Lightning;en;02/09/2002;-;-;-
507;How Do You Want Me?;en;24/02/1998;Kensington Films & Television;-;-
508;A J Wentworth, BA;en;12/07/1982;-;-;-
509;CHiPs;en;15/09/1977;Rosner Television;MGM Television;-
510;Totally Frank;en;25/09/2005;-;-;-
511;Beat-Club;de;25/09/1965;-;-;-
512;Third Watch;en;23/09/1999;-;-;-
513;Batman Beyond;en;10/01/1999;Warner Bros. Animation;DC Comics;-
514;Brides of Christ;en;04/09/1991;Australian Broadcasting Corporation;RTÉ;Roadshow Coote & Carroll
515;Ryan's Hope;en;07/07/1975;-;-;-
516;The Artful Dodger;en;28/09/1959;-;-;-
517;The Ultimate Fighter;en;17/01/2005;Zuffa;-;-
518;VR Troopers;en;03/09/1994;-;-;-
519;Larry King Live;en;03/06/1985;-;-;-
520;Sledge Hammer!;en;23/09/1986;Spencer Productions;D'Angelo Productions;New World Television
521;Fetch! with Ruff Ruffman;en;29/05/2006;WGBH Boston;Global Mechanic;-
523;Pensacola: Wings of Gold;en;15/09/1997;Viacom Productions;-;-
524;The Days and Nights of Molly Dodd;en;21/05/1987;You And Me Kid Productions;-;-
525;Card Sharks;en;24/04/1978;The Card Sharks Company;CBS;Mark Goodson Productions LLC
526;Moon TV;en;31/10/2006;-;-;-
527;Joanie Loves Chachi;en;23/03/1982;-;-;-
528;At Home Ka Dito;en;12/12/2012;-;-;-
529;The Legend of Prince Valiant;en;03/09/1991;-;-;-
530;The Mobile Cop Jiban;;12/12/2012;-;-;-
531;Saved by the Bell: The New Class;en;11/09/1993;Peter Engel Productions;NBC;-
532;Watercolour Challenge;en;15/06/1998;-;-;-
533;WWE Velocity;en;25/05/2002;World Wrestling Entertainment (WWE);-;-
534;Gameshow Marathon;en;31/05/2006;-;-;-
535;Dinner for Five;en;06/07/2001;-;-;-
536;Mona the Vampire;en;13/09/1999;CINAR;Gaumont-Alphanim;Cookie Jar Entertainment
537;Hey Arnold!;en;07/10/1996;Snee-Oosh Productions;Nicktoons Productions;Nubian Nights Worldwide
538;Bulls & Bears;en;12/12/2012;-;-;-
539;Squidbillies;en;07/11/2004;Williams Street;-;-
540;Shining Time Station;en;29/01/1989;-;-;-
541;Weekends with Maury and Connie;en;12/12/2012;-;-;-
542;Strictly Dance Fever;en;26/03/2005;-;-;-
543;The Proud Family;en;15/09/2001;Disney Enterprises;Jambalaya Studio;-
544;KaBlam!;en;11/10/1996;Nickelodeon Productions;Flying Mallet, Inc.;-
545;Living with Fran;en;08/04/2005;20th Century Fox Television;Fringe Productions;Jizzy Entertainment
546;Colditz;en;19/10/1972;-;-;-
547;Medical Investigation;en;09/09/2004;-;-;-
548;Blue Peter;en;16/10/1958;-;-;-
549;Law & Order;en;13/09/1990;Wolf Entertainment;Universal Television;Universal Media Studios
550;Till Death Us Do Part;en;06/06/1966;BBC;-;-
551;Supercar;en;28/01/1961;-;-;-
552;Higglytown Heroes;en;12/09/2004;WildBrain Studios;Happy Nest;-
553;Dungeons & Dragons;en;17/09/1983;Toei Animation;Marvel Productions;Sunbow Productions
554;Bordertown;en;07/01/1989;-;-;-
555;That's My Bush!;en;04/04/2001;Important Television;-;-
556;Good Morning America;en;06/01/1975;ABC News;-;-
557;Camp Lazlo;;12/12/2012;-;-;-
558;Binary Revolution Radio;en;12/12/2012;-;-;-
559;The Ghosts of Motley Hall;en;28/04/1976;-;-;-
560;Hammerman;en;07/09/1991;DiC Entertainment;-;-
561;Today;en;28/06/1982;-;-;-
562;The Ellen DeGeneres Show;en;08/09/2003;A Very Good Production;Telepictures;Warner Bros. Television
563;Stingers;en;29/09/1998;Beyond Simpson Le Mesurier;-;-
564;Moody and Pegg;en;29/06/1974;-;-;-
565;Muppet Babies;en;05/11/1984;Jim Henson Productions;Marvel Productions;-
566;Charles in Charge;en;03/10/1984;Universal Television;Al Burton Productions;Scholastic Productions
567;Countdown with Keith Olbermann;en;31/03/2003;-;-;-
568;Delilah and Julius;en;12/12/2012;-;-;-
569;Around the Horn;en;04/11/2002;-;-;-
570;The Market;en;12/12/2012;-;-;-
571;NHL 2Night;en;12/12/2012;-;-;-
572;Rainbow Brite;en;13/12/1984;DiC Entertainment;Hallmark Cards;-
573;Hapinas;en;12/12/2012;-;-;-
574;Thunderstone;en;12/02/1999;Jonathan M. Shiff Productions;-;-
575;Taonga;en;12/12/2012;-;-;-
576;ESPNews Gametime;en;12/12/2012;-;-;-
577;Living with Lydia;en;08/11/2001;-;-;-
578;Numb3rs;en;23/01/2005;-;-;-
579;The Biggest Loser;en;19/10/2004;25/7 Productions;-;-
580;Star Trek: Deep Space Nine;en;03/01/1993;Paramount Television Studios;-;-
581;Proof Positive;en;06/10/2004;-;-;-
582;My World and Welcome to It;en;15/09/1969;Sheldon Leonard Productions;-;-
583;The Swan;en;07/04/2004;-;-;-
584;Deal/No Deal;da;12/12/2012;-;-;-
585;WWF Wrestling Challenge;en;06/09/1986;-;-;-
586;Martial Law;en;26/09/1998;Cuse Productions;Ruddy Morgan Productions;20th Century Fox Television
587;Barnaby Jones;en;28/01/1973;-;-;-
588;My Little Pony Tales;en;02/08/1992;Sunbow Productions;Graz Entertainment;-
589;Remington Steele;en;01/10/1982;MTM Enterprises;-;-
590;SWAT Kats: The Radical Squadron;en;11/09/1993;-;-;-
591;Big Monday;en;12/12/2012;-;-;-
592;Jayce and the Wheeled Warriors;fr;01/09/1985;DIC;ICC TV Productions;-
593;Shaggy & Scooby-Doo Get a Clue!;en;23/09/2006;Warner Bros. Animation;-;-
594;Higher Ground;en;14/01/2000;-;-;-
595;Best of Phua Chu Kang Pte Ltd;en;25/09/1997;-;-;-
597;Cold Squad;en;23/01/1998;-;-;-
598;Two Pints of Lager and a Packet of Crisps;en;26/02/2001;BBC;-;-
599;Dark Oracle;en;02/10/2004;-;-;-
600;Renegade;en;19/09/1992;Stu Segall Productions;Stephen J. Cannell Productions;-
601;The Complete and Utter History of Britain;en;12/01/1969;-;-;-
602;Love on a Rooftop;en;06/09/1966;-;-;-
603;Veronica's Closet;en;25/09/1997;Warner Bros. Television;Bright/Kauffman/Crane Productions;-
604;Teen Titans;en;19/07/2003;DC Comics;Warner Bros. Animation;-
605;Sabrina, the Teenage Witch;en;27/09/1996;Hartbreak Films;Viacom Productions;Paramount Television Studios
606;Ed, Edd n Eddy;en;04/01/1999;a.k.a. Cartoon;-;-
607;The Powerpuff Girls;en;18/11/1998;Cartoon Network Studios;Hanna-Barbera Productions;-
608;Bo' Selecta!;en;06/09/2002;-;-;-
609;Green Acres;en;15/09/1965;Filmways Television;Orion Television;MGM Television
610;Mr. Show with Bob and David;en;03/11/1995;Brillstein-Grey Entertainment;-;-
611;The New Odd Couple;en;29/10/1982;-;-;-
612;3-South;en;07/11/2002;MTV Animation;Warner Bros. Animation;MTV Networks
613;The Virgin Diaries;en;12/12/2012;-;-;-
614;Rollergirls;en;02/01/2006;-;-;-
615;Futurama;en;28/03/1999;20th Century Fox Television;The Curiosity Company;20th Television
616;A Question of Sport;en;05/01/1970;-;-;-
617;Saturday Disney;en;12/12/2012;-;-;-
618;Brandy & Mr. Whiskers;en;21/08/2004;-;-;-
619;Half & Half;en;23/09/2002;SisterLee Productions;Eye Productions;-
620;Empress Myeongseong;ko;09/05/2001;GM Agency;Samhwa Networks;-
621;Jam & Jerusalem;en;24/11/2006;BBC;-;-
622;Let Me Entertain You;en;21/08/2006;-;-;-
623;Profit;en;08/04/1996;McNamara Production;-;-
625;The Black Donnellys;en;26/02/2007;Blackfriars Bridge Films;-;-
626;B-And-B;en;07/06/1968;-;-;-
627;Science Magazine;en;12/12/2012;-;-;-
628;TNA Xplosion;en;05/10/2002;-;-;-
629;Hypernauts;en;01/03/1996;-;-;-
630;Standoff;en;05/09/2006;Sesfonstein Productions;-;-
631;Gilligan's Planet;;12/12/2012;-;-;-
632;The Chart Show;en;11/04/1986;-;-;-
633;i-Witness;en;12/12/2012;-;-;-
634;Who's the Boss?;en;20/09/1984;-;-;-
635;The Adventures of Shirley Holmes;en;07/05/1997;-;-;-
636;Kung Fu: The Legend Continues;en;27/01/1993;-;-;-
637;CBS Evening News;en;01/07/1941;CBS News Productions;-;-
638;Once and Again;en;21/09/1999;-;-;-
639;Life on a Stick;en;24/03/2005;-;-;-
640;Room Raiders;en;12/12/2012;Granada Entertainment;MTV;-
641;Home to Roost;;12/12/2012;-;-;-
642;Mo'Nique's Fat Chance;en;12/12/2012;-;-;-
643;My Family;en;19/09/2000;Rude Boy Productions;DLT Entertainment;-
644;SOP Gigsters;en;12/12/2012;-;-;-
645;Rhoda;en;09/09/1974;MTM Enterprises;-;-
646;Penny Crayon;en;14/09/1989;Maddocks Animation;-;-
647;Parental Control;en;12/12/2012;-;-;-
648;The Incredible Hulk;en;04/11/1977;Universal Television;-;-
649;Paris By Night;vi;14/02/1986;Thuy Nga;-;-
650;Concentration;en;25/08/1958;Mark Goodson-Bill Todman Productions;Barry & Enright Productions;NBC
651;60 Minutes;en;24/09/1968;CBS News Productions;-;-
652;What's New, Scooby-Doo?;en;14/09/2002;Warner Bros. Animation;-;-
653;Metalocalypse;;12/12/2012;-;-;-
654;Reba;en;05/10/2001;20th Century Fox Television;-;-
655;Star Trek: The Next Generation;en;28/09/1987;Paramount Television Studios;-;-
656;Curious George;en;04/09/2006;Imagine Entertainment;Universal Animation Studios;WGBH Boston
657;Rocko's Modern Life;en;18/09/1993;MTV Networks;Games Animation;Joe Murray Productions Inc.
658;The Singing Detective;en;16/11/1986;BBC;Australian Broadcasting Corporation;-
660;The FBI Files;en;20/10/1998;-;-;-
661;The Young Indiana Jones Chronicles;en;04/03/1992;Lucasfilm Ltd.;Paramount Television Studios;Beta Film
662;John Callahan's Quads!;en;02/02/2001;-;-;-
663;Wild West Tech;en;19/08/2003;-;-;-
664;The Gavin Crawford Show;en;19/06/2000;-;-;-
665;Batfink;en;21/04/1966;Hal Seeger Productions;-;-
666;The National Dream;en;03/03/1974;-;-;-
667;Tom Green's House Tonight;en;12/12/2012;-;-;-
668;X-Men: Evolution;en;04/11/2000;Film Roman;Marvel Studios;-
669;Animal Cops: San Francisco;en;31/01/2005;-;-;-
670;Baby Looney Tunes;en;07/09/2002;Warner Bros. Animation;-;-
671;Moolah Beach;en;08/09/2001;-;-;-
672;Testigo;en;12/12/2012;-;-;-
673;Whoopi;en;09/09/2003;-;-;-
674;Redemption Hill;en;06/02/2006;-;-;-
675;Sorted;en;18/07/2006;-;-;-
676;Tom and Jerry Tales;en;23/09/2006;-;-;-
677;It's Like, You Know...;en;24/03/1999;-;-;-
678;Justice;en;30/08/2006;-;-;-
679;Xiaolin Showdown;en;01/11/2003;-;-;-
680;Shaquille;en;12/12/2012;-;-;-
681;The Girl from Tomorrow;en;05/01/1992;Film Australia;Nine Network Australia;-
682;Mr. Meaty;en;22/09/2006;-;-;-
683;The Steph Show;en;28/07/2006;-;-;-
684;Bamzooki;en;12/12/2012;-;-;-
685;The Psychiatrist;en;14/12/1970;Universal Television;-;-
686;Sex, Toys & Chocolate;en;01/12/2003;Sex, Toys and Chocolate;Alliance Atlantis;-
687;Queer Duck;en;11/10/2000;Showtime Entertainment Television;Mishmash Media;-
688;The West Wing;en;22/09/1999;-;-;-
689;John Doe;en;20/09/2002;Fox Television Studios;-;-
690;King of Cars;en;04/04/2006;-;-;-
691;No Job for a Lady;en;07/02/1990;-;-;-
692;Princess Nikki;en;06/09/2006;-;-;-
693;Desperate Housewives;en;03/10/2004;-;-;-
694;White Line Fever;en;12/12/2012;-;-;-
695;Round the Twist;en;26/08/1990;The Australian Children's Television Foundation;-;-
696;The Lost Children;en;01/03/2006;-;-;-
697;Challenge of the GoBots;en;29/10/1984;-;-;-
698;MuchAdrenaline;en;12/12/2012;-;-;-
699;Exosquad;en;18/09/1993;-;-;-
700;Graham Norton's Bigger Picture;en;01/08/2005;-;-;-
701;The News with Brian Williams;en;12/12/2012;-;-;-
702;8th & Ocean;en;07/03/2006;MTV;-;-
703;Tarzan, Lord of the Jungle;;12/12/2012;-;-;-
704;SportsCenter;en;06/09/1979;-;-;-
705;SuperTed;cy;04/10/1983;-;-;-
706;Basta Sports;en;12/12/2012;-;-;-
707;Boomtown;en;29/09/2002;Nemo Films;DreamWorks Television;NBC Studios
708;WCW Thunder;en;08/01/1998;World Championship Wrestling (WCW);-;-
709;Robot Chicken;en;20/02/2005;Williams Street;Stoopid Buddy Stoodios;Aardman
710;MTV's Most Wanted;en;12/12/2012;-;-;-
711;Threat Matrix;en;18/09/2003;Industry Entertainment;Touchstone Television;-
712;Designing Women;en;29/09/1986;Columbia Pictures Television;Mozark Productions;-
713;Chappelle's Show;en;22/01/2003;Pilot Boy Productions;Marobru Productions;-
714;About Face;en;06/11/1989;-;-;-
715;Fox & Friends;en;12/12/2012;-;-;-
716;Richard Hammond's 5 O'Clock Show;en;12/12/2012;-;-;-
717;Charlie Brooker's Screenwipe;en;02/03/2006;Zeppotron;-;-
718;Burgo's Catch Phrase;en;12/12/2012;-;-;-
719;The Fall and Rise of Reginald Perrin;en;08/09/1976;-;-;-
720;DuckTales;en;18/09/1987;Disney Television Animation;-;-
721;Extreme Makeover: Home Edition;;12/12/2012;-;-;-
722;The Uninvited;en;25/09/1997;-;-;-
723;Si Tsong, Si Tsang;en;12/12/2012;-;-;-
724;The Oprah Winfrey Show;;12/12/2012;-;-;-
725;U-Pick Live;en;14/10/2002;-;-;-
726;Lidsville;en;11/09/1971;-;-;-
727;Return to Eden;en;27/09/1983;Eden Productions Pty Ltd;-;-
729;Little Miss Jocelyn;en;22/08/2006;-;-;-
730;Dinnerladies;en;12/11/1998;-;-;-
731;Un gars, une fille;fr;01/05/1997;Avanti Groupe;-;-
732;L.A. Law;en;15/09/1986;20th Century Fox Television;Steven Bochco Productions;-
733;Sabrina: The Animated Series;en;06/09/1999;Riverdale Productions;DiC Entertainment;Hartbreak Films
734;Magnum, P.I.;en;11/12/1980;-;-;-
735;Maybe It's Me;en;05/10/2001;-;-;-
736;Pinoy Pop Superstar;en;03/07/2004;-;-;-
737;The Ben Stiller Show;en;27/09/1992;-;-;-
738;Welcome Back, Kotter;en;09/09/1975;-;-;-
739;Acapulco H.E.A.T.;en;28/09/1993;Keller Entertainment Group;M6 Films;Les Films du Triangle
740;Ace of Cakes;;12/12/2012;-;-;-
742;Primetime;en;03/08/1989;-;-;-
743;Beauty and the Geek;en;01/06/2005;Katalyst Films;Fox 21;3 Ball Productions
744;Jekyll;en;16/06/2007;BBC;Hartswood Films;-
745;Spaced;;12/12/2012;-;-;-
746;BrainTeaser;en;12/12/2012;-;-;-
747;Lads' Army;en;03/06/2002;-;-;-
748;ITV News Channel TV;en;12/12/2012;-;-;-
749;Cold Feet;en;15/11/1998;Granada Television;-;-
750;Where the Heart Is;en;06/04/1997;-;-;-
751;The World at War;en;31/10/1973;FremantleMedia;-;-
752;Slap Bang with Ant & Dec;en;12/12/2012;-;-;-
753;The Scarlet Pimpernel;en;24/01/1999;-;-;-
754;ITV News Tyne Tees;en;12/12/2012;-;-;-
755;That's Love;en;19/01/1988;-;-;-
756;Luton Airport;en;12/12/2012;-;-;-
757;Finger Tips;en;12/12/2012;-;-;-
758;The Sweeney;en;02/01/1975;Thames Television;Euston Films;-
759;Baddiel and Skinner Unplanned;en;28/05/2000;-;-;-
760;How 2;en;26/10/1990;STV Productions;TVS Television;-
761;Morning Glory;en;12/12/2012;-;-;-
762;That's Your Funeral;en;25/03/1970;-;-;-
763;Too Many Cooks;en;12/12/2012;-;-;-
764;Midsomer Murders;en;23/03/1997;Bentley Productions;ITV;-
766;This Morning;en;03/10/1988;-;-;-
767;Ready Steady Cook;;12/12/2012;-;-;-
768;Bad Influence!;en;29/10/1992;-;-;-
769;Us Girls;en;27/02/1992;-;-;-
770;Lookaround;en;12/12/2012;-;-;-
771;A Bear's Tail;en;08/07/2005;-;-;-
772;Footballers' Wives;;12/12/2012;-;-;-
773;ITV News Anglia;en;12/12/2012;-;-;-
774;On the Buses;;12/12/2012;-;-;-
775;Rag, Tag and Bobtail;;12/12/2012;-;-;-
776;Shattered;en;04/01/2003;-;-;-
777;OFI Sunday;en;12/12/2012;-;-;-
778;The Adventure of English;;12/12/2012;-;-;-
779;McCallum;en;13/01/1997;-;-;-
780;Wheel of Fortune;en;19/07/1988;Scottish Television Enterprises;-;-
781;Working Lunch;en;19/09/1994;-;-;-
782;Blind Date;en;30/11/1985;-;-;-
783;Breakfast Time;en;12/12/2012;-;-;-
784;Joking Apart;;12/12/2012;-;-;-
785;Men Behaving Badly;en;18/02/1992;Thames Television;Hartswood Films;-
786;Vic Reeves Big Night Out;en;25/05/1990;Channel X;-;-
787;Wycliffe;en;24/07/1994;Red Rooster Film & Television Entertainment;Harlech Television;-
788;Prehistoric Park;en;22/07/2006;D.S. Pictures;-;-
789;Hope and Glory;en;22/06/1999;-;-;-
790;Agatha Christie's Poirot;en;08/01/1989;The Computer Film Company;Picture Partnership Productions;Carnival Films
791;PokerFace;en;10/07/2006;-;-;-
792;Play Your Cards Right;en;01/02/1980;-;-;-
793;My New Best Friend;en;08/08/2003;Tiger Aspect Productions;-;-
795;Sunday Live;en;12/12/2012;-;-;-
797;Have I Got News for You;en;28/09/1990;Hat Trick Productions;BBC;-
798;ITV News Meridian;en;01/01/1993;-;-;-
799;Sherlock Holmes;en;24/04/1984;Granada Television;-;-
800;Quizmania;en;12/12/2012;-;-;-
801;Quizmania;en;12/12/2012;-;-;-
802;TV Heaven, Telly Hell;en;26/03/2006;-;-;-
803;Catchphrase;;12/12/2012;-;-;-
804;Alfresco;en;01/05/1983;Granada Television;-;-
805;Maid Marian and Her Merry Men;en;16/11/1989;-;-;-
806;The Late, Late Breakfast Show;;12/12/2012;-;-;-
807;Sunday Feast;en;12/12/2012;-;-;-
808;North Tonight;en;12/12/2012;-;-;-
809;Catterick;en;15/02/2004;-;-;-
810;Armchair Theatre;en;08/07/1956;-;-;-
811;How Do You Solve a Problem like Maria?;en;12/12/2012;-;-;-
812;Harry Hill's TV Burp;en;14/11/2002;Avalon Television;-;-
813;Hell's Kitchen;en;23/05/2004;-;-;-
814;Hornblower;en;07/10/1998;-;-;-
815;Peep Show;en;19/09/2003;Objective Media Group;-;-
816;Shooting Stars;en;27/12/1993;Pett Productions;BBC;-
817;Barbara;en;27/06/1999;-;-;-
818;Super Gran;en;20/01/1985;Tyne Tees Television;-;-
819;Live at the Apollo;en;06/09/2004;-;-;-
820;SK8-TV;en;12/12/2012;Binder Entertainment;-;-
821;Ford Super Sunday;en;12/12/2012;-;-;-
822;Give Us This Day;en;12/12/2012;-;-;-
823;WWF Superstars Of Wrestling;en;06/09/1986;-;-;-
825;ttn;en;03/02/2004;-;-;-
826;NBC Nightly News;en;03/08/1970;NBC News;-;-
827;What Now;en;12/12/2012;-;-;-
828;World News Now;en;12/12/2012;-;-;-
829;See Hear;en;11/10/1981;-;-;-
830;Granada Reports;en;01/01/1992;-;-;-
831;Loose Women;en;06/09/1999;-;-;-
832;Mum's on Strike;en;12/12/2012;-;-;-
833;Don't Move, Improve;en;12/12/2012;-;-;-
834;Westcountry Live;en;12/12/2012;-;-;-
835;The West Tonight;en;12/12/2012;-;-;-
836;ITV News Central;en;12/12/2012;-;-;-
837;UTV Live;en;12/12/2012;-;-;-
838;Scotland Today;en;12/12/2012;-;-;-
839;Newsround;en;12/12/2012;-;-;-
840;ITV News London;en;12/12/2012;-;-;-
841;Newsnight;en;30/01/1980;-;-;-
842;Prime Time;en;12/12/2012;-;-;-
843;ITV News Cymru Wales;en;12/12/2012;-;-;-
844;Line of Fire;en;02/12/2003;DreamWorks Television;Touchstone Television;-
846;Greg the Bunny;en;27/03/2002;-;-;-
847;Watching Ellie;en;26/02/2002;Hammond's Reef;NBC Studios;-
848;American Dreamer;en;20/09/1990;Paramount Television Studios;-;-
849;Monty Python's Flying Circus;en;05/10/1969;BBC;-;-
850;Himalaya with Michael Palin;en;03/10/2004;Prominent Television;BBC;-
851;Full Circle with Michael Palin;en;31/08/1997;-;-;-
852;Michael Palin: Around the World in 80 Days;en;11/10/1989;-;-;-
853;Now!;en;12/12/2012;-;-;-
854;Ripping Yarns;en;07/01/1976;-;-;-
855;Pole to Pole;en;21/10/1992;-;-;-
856;Irish railway journey: Derry to Kerry;en;12/12/2012;-;-;-
857;Michael Palin's Hemingway Adventure;en;17/10/1999;-;-;-
858;Sahara with Michael Palin;en;13/10/2002;Prominent Television;BBC;-
862;In the Heat of the Night;en;06/03/1988;MGM Television;Fred Silverman Productions;JADDA Productions
863;Peppermint Place;en;12/12/2012;-;-;-
864;Mr. Peppermint;en;12/12/2012;-;-;-
865;GE College Bowl;en;12/12/2012;-;-;-
866;Password Plus;en;08/01/1979;The Password Company;Mark Goodson-Bill Todman Productions;NBC
867;The John Larroquette Show;en;02/09/1993;Warner Bros. Television;Impact Zone Productions;Witt/Thomas Productions
868;Boston Common;en;21/03/1996;Castle Rock Entertainment;KoMut Entertainment;-
869;Son of the Beach;en;14/03/2000;Fox Television Studios;-;-
870;My 19 Year Old Sister-in-Law;en;28/07/2004;-;-;-
871;The Betty White Show;en;08/02/1954;-;-;-
872;America This Morning;en;12/12/2012;-;-;-
873;Columbo;en;15/09/1971;Universal Television;Studios USA;-
874;One Life to Live;en;15/07/1968;ABC Studios;Capital Cities/ABC Video Enterprises Inc.;-
875;Guiding Light;;12/12/2012;-;-;-
876;Tufte IL;en;12/12/2012;-;-;-
877;Caprica;en;22/01/2010;UCP;-;-
878;I Wanna Be a Soap Star;en;16/10/2004;-;-;-
879;All My Children;en;05/01/1970;-;-;-
880;Wojeck;en;13/09/1966;CBC Films;-;-
881;Days of Our Lives;en;08/11/1965;-;-;-
882;Connections;en;17/10/1978;-;-;-
883;The Day the Universe Changed;en;19/03/1985;BBC;-;-
884;Connections 2;en;02/01/1994;-;-;-
885;Connections 3;en;01/01/1997;-;-;-
886;Pope John Paul II;en;04/12/2005;Rai Fiction;Lux Vide;Grupa Filmowa Baltmedia & Studio Filmowe Projektor
887;Space Race;en;14/09/2005;Mediapro Studios;BBC;First Channel
888;Spider-Man;en;19/11/1994;Marvel Entertainment Group;Marvel Films;-
889;Eureka Seven;ja;17/04/2005;BONES;-;-
890;Neon Genesis Evangelion;ja;04/10/1995;GAINAX;-;-
891;Thunderbirds;en;30/09/1965;ITV;-;-
892;Randall and Hopkirk (Deceased);en;21/09/1969;-;-;-
893;I Love New York;en;08/01/2007;-;-;-
894;The Prisoner;en;29/09/1967;Everyman Films;ITC Entertainment;-
895;Murder Most Horrid;en;14/11/1991;-;-;-
896;The Lost World;en;03/04/1999;Coote Hayes Productions;-;-
897;The Grim Adventures of Billy and Mandy;en;24/08/2001;Cartoon Network Studios;-;-
898;Just Jordan;en;07/01/2007;-;-;-
899;The Wallflower;ja;03/10/2006;Nippon Animation;-;-
900;Skins;en;25/01/2007;Company Pictures;-;-
901;The Sarah Silverman Program.;en;01/02/2007;-;-;-
902;Yu-Gi-Oh! Duel Monsters;ja;18/04/2000;TV Tokyo;Konami;-
903;Black Books;en;29/09/2000;-;-;-
904;Lincoln Heights;en;08/01/2007;-;-;-
905;French & Saunders;en;09/03/1987;-;-;-
906;Alas Smith and Jones;en;31/01/1984;-;-;-
907;This Morning with Richard Not Judy;;12/12/2012;-;-;-
908;People Like Us;en;20/09/1999;-;-;-
909;15 Storeys High;en;07/11/2002;-;-;-
910;As the World Turns;en;01/01/1956;-;-;-
911;Kaun Banega Crorepati;hi;03/07/2000;Big Synergy Media;-;-
912;Ah! My Goddess;ja;06/01/2005;Mini Art;Kodansha;-
913;Temple Houston;en;19/09/1963;Warner Bros. Television;Apollo Productions;Rancom Productions Inc.
915;The Secret Adventures of Jules Verne;en;18/06/2000;-;-;-
916;The Pogo Special Birthday Special;en;12/12/2012;-;-;-
917;Kate & Allie;en;19/03/1984;-;-;-
918;M*A*S*H;en;17/09/1972;20th Century Fox Television;-;-
919;Charlie Rose;en;30/09/1991;-;-;-
920;The Fonz and the Happy Days Gang;en;08/11/1980;-;-;-
921;Supertrain;en;07/02/1979;Dan Curtis Productions;NBC;-
922;Pop Idol;en;06/10/2001;19 Entertainment;-;-
923;The Surreal Life;en;09/01/2003;Renegade Entertainment;Brass Ring Productions;Mindless Entertainment
924;I Love the '90s;en;12/07/2004;-;-;-
925;77 Sunset Strip;en;10/10/1958;-;-;-
926;Scooby-Doo, Where Are You!;en;13/09/1969;Hanna-Barbera Productions;-;-
927;Strange Love;en;09/01/2005;-;-;-
928;Mulawin;tl;02/08/2004;GMA Entertainment Group;-;-
929;I Love the '80s;en;16/12/2002;-;-;-
930;Hollywood Squares;en;17/10/1966;Orion Television;Filmways Television;Merrill Heatter-Bob Quigley Productions
931;He-Man and the Masters of the Universe;en;05/09/1983;Mattel;Filmation Associates;-
932;Beast Machines: Transformers;en;18/09/1999;Mainframe Entertainment;-;-
933;Kratts' Creatures;en;03/06/1996;Earth Creatures;Maryland Public Television;Paragon Entertainment Corporation
934;Strangers;;12/12/2012;-;-;-
